Gender,Umur,Tinggi(cm),Keterangan
1,57,99.3,Pendek
1,57,117.4,Normal
1,57,117.5,Tinggi
1,58,95.1,Sangat Pendek
1,58,99.7,Pendek
1,58,118,Normal
1,58,118.1,Tinggi
1,59,95.5,Sangat Pendek
1,59,100.2,Pendek
1,59,118.6,Normal
1,59,118.7,Tinggi
